06/11/2023 17:43:48,Belgrade,Sibiu ; Romania,Plane,Same as I came!,A wonderful experience!
06/11/2023 17:51:17,Belgrade,Belgrade ; Serbia,City bus / Intercity coach,Same as I came!,
07/11/2023 08:59:34,Genova,Padova ; Italy,Train,Car,
08/11/2023 16:47:47,Belgrade,Sofia ; Bulgaria,Car,Same as I came!,
09/11/2023 11:47:02,London,London ; United Kingdom ,City bus / Intercity coach,Same as I came!,
09/11/2023 13:18:54,Regensburg,Regensburg ; Germany,Muscule-powered,Bike,
09/11/2023 13:35:44,Regensburg,Frankfurt am Main ; Germany,Train,Train,
09/11/2023 13:50:53,Regensburg,Munich ; Germany,Regional train,Same as I came!,
09/11/2023 14:38:49,London,london ;  uk,Train,Same as I came!,
09/11/2023 15:32:01,Regensburg,Berlin ; Germany,Train,Same as I came!,
09/11/2023 15:58:30,Regensburg,Berlin ; Germany,Train,Same as I came!,"It was a cute little garden but nothing replaces an international in-person gathering. So while this was a cool idea, our team would like to see a centralized event again :)"
09/11/2023 16:52:20,London,London ; UK,Muscule-powered,Same as I came!,
09/11/2023 17:31:27,Regensburg,Regensburg ; Germany,Car,Car,By Car because of a subsequent Holiday
10/11/2023 10:53:02,Lyon,Lyon ; France,Car,Same as I came!,Carsharing
10/11/2023 10:57:18,Lyon,Lyon ; France,Muscule-powered,Same as I came!,
10/11/2023 10:58:31,Lyon,Lyon ; France,Muscule-powered,Same as I came!,
10/11/2023 11:01:03,Lyon,Lyon ; France,Muscule-powered,Bike,
10/11/2023 11:02:55,Lyon,Paris ; France,Train,Train,
10/11/2023 11:03:37,Lyon,Düsseldorf ; Germany,Train,Same as I came!,
10/11/2023 11:04:53,Lyon,Paris ; France,Train,Same as I came!,
10/11/2023 11:07:52,Lyon,Lyon ; France,Muscule-powered,Feet,
10/11/2023 11:07:55,Lyon,Tours ; France,Train,Train,
10/11/2023 11:10:17,Lyon,Lyon ; France,Muscule-powered,Same as I came!,I'm local
10/11/2023 11:15:55,Lyon,Paris ; France,Train,Same as I came!,
10/11/2023 11:18:20,Lyon,TERNAY ; FRANCE,Car,Car,ELECTRIC CAR
10/11/2023 11:20:57,Lyon,Lyon ; France,City bus / Intercity coach,Feet,
10/11/2023 11:24:51,Lyon,Lyon ; France,Muscule-powered,Bike,
10/11/2023 11:48:58,Lyon,Marseille ; France,Train,Same as I came!,
10/11/2023 11:55:35,Lyon,Lyon ; France,City bus / Intercity coach,City bus,
10/11/2023 12:02:36,Lyon,Marseille ; France,Train,Same as I came!,
10/11/2023 13:47:20,Lyon,Lyon ; France,Muscule-powered,Bike,
10/11/2023 14:37:05,Lyon,Lyon ; France,City bus / Intercity coach,Same as I came!,
10/11/2023 16:15:52,Lyon,Lyon ; France,Car,Car,
10/11/2023 17:34:03,Lyon,Lyon ; France,City bus / Intercity coach,Same as I came!,
10/11/2023 17:50:13,Lyon,Grenoble ; France,Train,Same as I came!,
10/11/2023 18:31:25,London,London ; UK,Muscule-powered,Feet,
10/11/2023 20:00:41,Lyon,Paris ; France,Train,Same as I came!,
12/11/2023 17:36:36,Lyon,Tours ; France,Train,Train,
13/11/2023 08:45:11,Lyon,Barcelona ; Spain,Train,Same as I came!,
13/11/2023 12:07:49,Lyon,Lyon ; France,Muscule-powered,Same as I came!,
13/11/2023 20:39:53,Oro Verde,Oro Verde ; Argentina,Muscule-powered,Same as I came!,
14/11/2023 19:50:28,Santiago,Santiago ; Chile,City bus / Intercity coach,Same as I came!,
14/11/2023 19:53:42,Talca,Talca ; Chile,City bus / Intercity coach,City bus,I walk from the hotel to the veue all days
14/11/2023 19:54:35,Santiago,Kulenko Cauquenes ; Chile ,Car,City bus,
14/11/2023 19:59:16,Santiago,Talca ; Chile,City bus / Intercity coach,Same as I came!,
14/11/2023 20:03:42,Santiago,La Serena ; Chile,City bus / Intercity coach,Same as I came!,
14/11/2023 20:10:46,Santiago,Talca ; Chile,City bus / Intercity coach,City bus,
14/11/2023 20:39:10,Santiago,Chile ; Santiago,City bus / Intercity coach,City bus,It's about 300 km. between Santiago and Talca
14/11/2023 20:58:00,Santiago,Talca ; Chile,City bus / Intercity coach,Same as I came!,
14/11/2023 21:10:33,Santiago,Talca ; Chile,City bus / Intercity coach,Same as I came!,
14/11/2023 21:21:18,Santiago,Santiago ; Chile,Muscule-powered,Same as I came!,Great experience!
14/11/2023 23:06:46,Santiago,Talca ; Chile,City bus / Intercity coach,City bus,
14/11/2023 23:32:59,Santiago,Santiago ; Chile,City bus / Intercity coach,Same as I came!,
15/11/2023 00:14:28,Santiago,Talca ; Chile,City bus / Intercity coach,Intercity coach,
15/11/2023 16:48:07,Lyon,Lyon ; France,Muscule-powered,Bike,
15/11/2023 17:33:04,Santiago,Talca ; Chile,Train,Train,
15/11/2023 18:00:41,Nijmegen,Groningen ; Netherlands ,Train,Same as I came!,"I did have a daily commute from Apeldoorn to Nijmegen (by train), to avoid hotel costs "
15/11/2023 18:05:19,Santiago,Santiago ; Chile,City bus / Intercity coach,Same as I came!,
15/11/2023 18:53:22,Bournemouth,Bournemouth ; United Kingdom,City bus / Intercity coach,Same as I came!,
16/11/2023 08:40:51,Nijmegen,Würzburg ; Germany,Train,Train,
16/11/2023 11:12:08,Lyon,grenoble ; france,Regional train,Train,
16/11/2023 11:44:57,Bournemouth,Valencia ; Spain,Plane,Same as I came!,Lovely people 
16/11/2023 13:22:07,Santiago,Santiago ; Chile,City bus / Intercity coach,Same as I came!,No!
16/11/2023 14:40:22,Bournemouth,London ; UK,Train,Same as I came!,
